,Unnamed: 0,店铺名称,用户名,评论
131,131,芭夯兔（温江店）,qVr611213343,味道不错，推荐麻辣鸭头
132,132,芭夯兔（温江店）,tvQ236208201,真的不错，我们是4个人去的，还单点了几样菜，吃得特别饱
133,133,芭夯兔（温江店）,花好月圆50526,这是第二次来吃了，带孩子来吃，非常好吃，回头客了，二个大人二个孩子很合适，够吃，分量还是不错的，老人小孩都比较适合，清淡口味，这个套餐太划算了还有小吃，味道真不错值得推荐大家，带孩子和老人来吃，肉肉很嫩很滑，不错不错
134,134,芭夯兔（温江店）,uVW295336253,优惠券买的性价比较高，小朋友喜欢吃。
135,135,芭夯兔（温江店）,yzQ617021068,「#套餐：温馨尝鲜双人餐」菜品不错环境好服务热情
136,136,芭夯兔（温江店）,ygok3,四大两个小学生，吃了二百八十多，味道不错，肉很嫩。
137,137,芭夯兔（温江店）,匿名用户,一家三口吃的套餐，分量够。不错。
138,138,芭夯兔（温江店）,xus99377458,做得挺软 还行
139,139,芭夯兔（温江店）,Zzzzzzzz真真真,兔肉汤锅很养生，很新鲜滑嫩，菌汤也很多菌类，汤光喝也很好喝。蘸水有两种选择，都很有特色。照顾了辣和不辣两种口味。「#套餐：温馨尝鲜双人餐」套餐东西很多，冬瓜凤尾素菜，也有花生汁是热暖的，鲜榨的。红糖糍粑一般。兔头不错。
140,140,芭夯兔（温江店）,EEu830636094,造型可爱，味道好
141,141,芭夯兔（温江店）,cj14565,环境不错，临靠路边。美团上购买的双人特价套餐，兔子汤锅上的很快，里面的茶树菇很好吃，套餐莴笋尖烫着比较回甜，鸭头很入味，花生汁味道不是特别浓郁，喝着比较舒服。份量很大，两个人没有吃完，免费帮忙打包了香菜丸子和红糖糍粑
142,142,芭夯兔（温江店）,李大单爱吃担担面,「#套餐：温馨尝鲜双人餐」量很足，两个人吃这个套餐都吃不完，兔肉很嫩，麻辣鸭头超级好吃，花生汁是鲜榨的，很浓郁，很大一壶，服务态度也很好，体验很棒
143,143,芭夯兔（温江店）,veL321800403,菜品好，口味好，服务态度还将就
144,144,芭夯兔（温江店）,dingyang0609,分量和服务都相当不错，个人感觉还是很美好的。
145,145,芭夯兔（温江店）,SWG331176054,自贡美食，份量足，味道很好，值得品尝。
146,146,芭夯兔（温江店）,SWG331176054,鸭头是热的，麻辣鲜香，令人垂涎欲滴。
147,147,芭夯兔（温江店）,光头哥B,环境不错，肉很嫩，从成都大老远过来吃…
148,148,芭夯兔（温江店）,EEu830636094,味道很好
149,149,芭夯兔（温江店）,神木清瞳,强势推荐，做了她家回头客n次了，。味道是真的巴适，服务也好，强烈推荐
150,150,芭夯兔（温江店）,RXG454431791,服务员应再教育。培训！ 通货膨胀了？肉没以前多，我吃了几口吃得干干静静的。
151,151,芭夯兔（温江店）,YDl973187648,去过几次了，我不喜欢吃兔子肉，但是清淡，汤好喝，糍粑不错，饮料不错，鸭头不错，豌豆也好吃?
152,152,芭夯兔（温江店）,Ppb287466936,菜品味道不错，非常适合口味清淡还有老人小孩的人吃，菜品量挺足，五星好评???
153,153,芭夯兔（温江店）,L桃桃桃桃子UO,好吃划算
154,154,芭夯兔（温江店）,江涛9449,很满意的一次就餐体验，整体评价的话我觉得：服务、口味、性价比。
155,155,芭夯兔（温江店）,Wql230718184,服务真的很适当，让人吃饭很舒服，可以带家人朋友多去
156,156,芭夯兔（温江店）,罗嘻嘻333,芭夯兔味道一直没变～
157,157,芭夯兔（温江店）,明月若汐,上菜特别快，最喜欢喝他家的菌汤了，很好喝！
158,158,芭夯兔（温江店）,GwY258241295,多次去消费了。
159,159,芭夯兔（温江店）,DqE115305580,此次用餐总体来说不错，觉得比较认可的地方有：口味、环境、服务、性价比。
160,160,芭夯兔（温江店）,匿名用户,此次用餐总体来说不错，觉得比较认可的地方有：口味。
161,161,芭夯兔（温江店）,JIg171066399,很满意的一次就餐体验，整体评价的话我觉得：口味、服务、环境、团购接待、性价比。
162,162,芭夯兔（温江店）,转圈圈〇,更棒，口味清淡，适合带小孩或者老人吃。
163,163,芭夯兔（温江店）,haimingyuer,太棒了，三个人才吃得完，量足，好。
164,164,芭夯兔（温江店）,slovex14,菜品不错，服务也很热情，很好的用餐体验，支持
165,165,芭夯兔（温江店）,VaN605568608,味道真的很不错，第一次是单位聚餐。看到秒杀活动，就心动啦。
166,166,芭夯兔（温江店）,dho223828907,好吃，一直喜欢吃，不错的，肉嫩。
167,167,芭夯兔（温江店）,Lcu538904916,本来不想评价，可是我真的很难受。。。拉肚子想吐，打包回家给狗吃的丸子，狗半夜都吐了
